|Unnamed: 0|year|player|year_on_ballot|votes|votes_pct|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary|player_old
159|159|1937|Billy Sullivan|2nd|1|0.5%|11.0|20.0|16.0|8.8|8.4|8.6|44.2|1147.0|3647.0|363.0|777.0|21.0|378.0|98.0|170.0|0.213|0.254|0.281|0.535|63.0||||||||| |||||*2/H345796|Billy Sullivan
160|160|1937|Bobby Veach|1st|1|0.5%|86.0|34.0|14.0|48.0|37.8|42.9|53.4|1821.0|6656.0|957.0|2063.0|64.0|1174.0|195.0|571.0|0.31|0.37|0.442|0.812|127.0|0.0|0.0|4.5|76.0|2.0|1.0|0.0|1.0|2.0|2.0|0.0|2.0|0.0|*7H9/81|Bobby Veach
161|161|1937|Bobby Wallace|1st|1|0.5%|30.0|30.0|25.0|70.3|41.9|56.1|55.4|2383.0|8618.0|1057.0|2309.0|34.0|1121.0|201.0|774.0|0.268|0.332|0.358|0.69|105.0|24.0|22.0|3.87|125.0|1.555|57.0|48.0|1.0|402.0|469.0|6.0|156.0|120.0|*6*514/HO39|Bobby Wallace HOF
162|162|1937|Hack Wilson|1st|1|0.5%|104.0|39.0|12.0|38.7|36.1|37.4|58.1|1348.0|4760.0|884.0|1461.0|244.0|1063.0|52.0|674.0|0.307|0.395|0.545|0.94|144.0||||||||| |||||*879H/4|Hack Wilson HOF
163|163|1938|Pete Alexander|3rd|212|80.9%|257.0|77.0|20.0|119.3|69.7|94.5|61.4|703.0|1810.0|154.0|378.0|11.0|163.0|3.0|77.0|0.209|0.242|0.275|0.517|43.0|373.0|208.0|2.56|135.0|1.121|696.0|600.0|32.0|5190.0|4868.0|165.0|951.0|2198.0|*1/H7|Pete Alexander
164|164|1938|George Sisler|3rd|179|68.3%|200.0|44.0|15.0|54.8|47.1|51.0|53.8|2055.0|8267.0|1284.0|2812.0|102.0|1178.0|375.0|472.0|0.34|0.379|0.468|0.847|125.0|5.0|6.0|2.35|126.0|1.288|24.0|12.0|3.0|111.0|91.0|0.0|52.0|63.0|*3H/197845|George Sisler HOF
165|165|1938|Willie Keeler|3rd|177|67.6%|189.0|49.0|19.0|54.2|36.2|45.2|56.7|2123.0|8591.0|1719.0|2932.0|33.0|810.0|495.0|524.0|0.341|0.388|0.415|0.802|127.0||||||||| |||||*O*95/H4768|Willie Keeler HOF
166|166|1938|Eddie Collins|3rd|175|66.8%|250.0|71.0|25.0|124.4|64.2|94.3|57.1|2826.0|9949.0|1821.0|3315.0|47.0|1299.0|741.0|1499.0|0.333|0.424|0.429|0.853|142.0||||||||| |||||*4H6/8975|Eddie Collins HOF
167|167|1938|Rube Waddell|3rd|148|56.5%|138.0|47.0|13.0|58.4|49.3|53.8|61.4|410.0|1066.0|61.0|172.0|4.0|83.0|6.0|42.0|0.161|0.197|0.219|0.416|25.0|193.0|143.0|2.16|135.0|1.102|407.0|340.0|5.0|2961.1|2460.0|37.0|803.0|2316.0|*1/3H|Rube Waddell HOF
168|168|1938|Frank Chance|3rd|133|50.8%|22.0|24.0|17.0|46.0|35.6|40.8|53.8|1288.0|4299.0|798.0|1274.0|20.0|596.0|403.0|556.0|0.296|0.394|0.394|0.788|135.0||||||||| |||||*32O9H/78|Frank Chance HOF
