|player|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary|is_in_hof|years_on_ballot
211|Bill Killefer|10.0|20.0|13.0|9.8|9.5|9.7|44.2|1035.0|3150.0|237.0|751.0|4.0|240.0|39.0|113.0|0.238|0.273|0.283|0.555|63.0||||||||| |||||*2H/37|False|1
212|Joe Cronin|143.0|55.0|20.0|64.7|43.7|54.2|55.4|2124.0|7579.0|1233.0|2285.0|170.0|1424.0|87.0|1059.0|0.301|0.39|0.468|0.857|119.0||||||||| |||||*6H534/7|True|10
213|Terry Turner|3.0|13.0|17.0|37.7|28.2|32.9|55.4|1659.0|5921.0|699.0|1499.0|8.0|528.0|256.0|435.0|0.253|0.308|0.318|0.626|89.0||||||||| |||||*6*549H/8|False|1
214|Eddie Dyer|0.0|0.0|6.0|-0.3|-0.3|-0.3|32.5|129.0|157.0|31.0|35.0|2.0|13.0|3.0|10.0|0.223|0.269|0.344|0.613|62.0|15.0|15.0|4.76|84.0|1.612|69.0|23.0|3.0|255.0|316.0|11.0|95.0|63.0|1H/78|False|1
215|George Kelly|48.0|22.0|16.0|25.3|24.1|24.7|53.8|1622.0|5993.0|819.0|1778.0|148.0|1020.0|65.0|386.0|0.297|0.342|0.452|0.794|109.0|1.0|0.0|0.0||1.0|1.0|0.0|0.0|5.0|4.0|0.0|1.0|2.0|*34H/79851|False|7
216|Charlie Gelbert|15.0|5.0|9.0|9.4|10.6|10.0|55.4|876.0|2869.0|398.0|766.0|17.0|350.0|34.0|290.0|0.267|0.336|0.374|0.709|81.0|0.0|0.0|9.0|55.0|2.0|2.0|0.0|0.0|4.0|5.0|2.0|3.0|1.0|*65H/41|False|4
217|Bubbles Hargrave|24.0|20.0|12.0|16.6|16.5|16.6|44.2|852.0|2533.0|314.0|786.0|29.0|376.0|29.0|217.0|0.31|0.372|0.452|0.824|118.0||||||||| |||||*2H|False|3
218|Jimmie Wilson|45.0|26.0|18.0|11.3|10.6|11.0|44.2|1525.0|4778.0|580.0|1358.0|32.0|621.0|86.0|356.0|0.284|0.336|0.37|0.707|82.0||||||||| |||||*2H/34879|False|12
219|Jimmy Dykes|27.0|30.0|22.0|34.7|21.5|28.1|55.7|2282.0|8046.0|1108.0|2256.0|108.0|1069.0|70.0|958.0|0.28|0.365|0.399|0.764|96.0|0.0|0.0|4.5|111.0|1.5|2.0|0.0|1.0|2.0|2.0|0.0|1.0|0.0|*5*436H/8719|False|11
220|Travis Jackson|28.0|29.0|15.0|44.0|35.2|39.6|55.4|1656.0|6086.0|833.0|1768.0|135.0|929.0|71.0|412.0|0.291|0.337|0.433|0.77|102.0||||||||| |||||*6*5H/49|False|12
221|Jim Bottomley|99.0|42.0|16.0|35.8|29.6|32.7|53.8|1991.0|7471.0|1177.0|2313.0|219.0|1422.0|58.0|664.0|0.31|0.369|0.5|0.869|125.0||||||||| |||||*3H/4|False|12
222|Lefty O'Doul|92.0|31.0|11.0|27.1|27.3|27.2|53.4|970.0|3264.0|624.0|1140.0|113.0|542.0|36.0|333.0|0.349|0.413|0.532|0.945|143.0|1.0|1.0|4.87|83.0|1.97|34.0|1.0|0.0|77.2|104.0|1.0|49.0|19.0|*7H91/8|False|10
223|Red Ruffing|130.0|38.0|22.0|68.6|39.9|54.3|61.4|882.0|1937.0|207.0|521.0|36.0|273.0|1.0|97.0|0.269|0.306|0.389|0.695|81.0|273.0|225.0|3.8|109.0|1.341|624.0|538.0|18.0|4344.0|4284.0|254.0|1541.0|1987.0|*1H/79|False|15
224|Kiki Cuyler|116.0|46.0|18.0|47.9|35.6|41.7|56.7|1879.0|7161.0|1305.0|2299.0|128.0|1065.0|328.0|676.0|0.321|0.386|0.474|0.86|125.0||||||||| |||||*9*8*7H|False|12
225|George Earnshaw|57.0|10.0|9.0|21.9|23.5|22.7|61.4|319.0|704.0|61.0|162.0|3.0|70.0|1.0|20.0|0.23|0.253|0.295|0.549|41.0|127.0|93.0|4.38|100.0|1.457|319.0|249.0|12.0|1915.1|1981.0|142.0|809.0|1002.0|*1|False|5
226|Chuck Klein|194.0|48.0|17.0|46.5|39.0|42.7|56.7|1753.0|6486.0|1168.0|2076.0|300.0|1201.0|79.0|601.0|0.32|0.379|0.543|0.922|137.0||||||||| |||||*97H8/3|False|12
227|Eddie Rommel|49.0|23.0|13.0|49.8|37.4|43.6|61.4|508.0|826.0|80.0|164.0|1.0|59.0|1.0|62.0|0.199|0.255|0.245|0.499|28.0|171.0|119.0|3.54|121.0|1.35|501.0|249.0|30.0|2557.0|2729.0|138.0|724.0|599.0|*1/7H49|False|8
228|Ossie Bluege|8.0|18.0|18.0|28.5|20.2|24.4|55.7|1867.0|6440.0|883.0|1751.0|43.0|848.0|140.0|723.0|0.272|0.352|0.356|0.707|85.0||||||||| |||||*564H/37|False|6
229|Freddie Fitzsimmons|56.0|33.0|19.0|35.8|23.4|29.6|61.4|513.0|1155.0|112.0|231.0|14.0|103.0|0.0|36.0|0.2|0.233|0.279|0.511|36.0|217.0|146.0|3.51|112.0|1.297|513.0|424.0|13.0|3223.2|3335.0|187.0|846.0|870.0|*1|False|7
230|Stan Hack|76.0|38.0|16.0|55.5|37.5|46.5|55.7|1938.0|7278.0|1239.0|2193.0|57.0|642.0|165.0|1092.0|0.301|0.394|0.397|0.791|119.0||||||||| |||||*5H3|False|7
231|Steve O'Neill|46.0|26.0|17.0|26.3|20.4|23.4|44.2|1590.0|4795.0|448.0|1259.0|13.0|534.0|30.0|592.0|0.263|0.349|0.337|0.685|88.0||||||||| |||||*2H/3|False|7
232|Jack Quinn|63.0|30.0|23.0|58.7|33.1|45.9|61.4|771.0|1349.0|90.0|248.0|8.0|115.0|5.0|89.0|0.184|0.236|0.24|0.476|29.0|247.0|218.0|3.29|114.0|1.3|756.0|443.0|56.0|3920.1|4238.0|103.0|860.0|1329.0|*1/H97|False|4
233|Glenn Wright|33.0|27.0|11.0|25.3|24.5|24.9|55.4|1119.0|4153.0|584.0|1219.0|94.0|723.0|38.0|209.0|0.294|0.328|0.447|0.775|99.0||||||||| |||||*6H/3459|False|12
234|Dick Bartell|67.0|32.0|18.0|41.7|30.3|36.0|55.4|2016.0|7629.0|1130.0|2165.0|79.0|710.0|109.0|748.0|0.284|0.355|0.391|0.747|96.0||||||||| |||||*654H|False|4
235|Carson Bigbee|24.0|14.0|11.0|11.7|13.8|12.8|53.4|1147.0|4192.0|629.0|1205.0|17.0|324.0|182.0|344.0|0.287|0.345|0.369|0.713|97.0||||||||| |||||*7H84/965|False|1
236|Leon Cadore|8.0|12.0|10.0|19.4|19.9|19.7|61.4|193.0|442.0|28.0|92.0|5.0|45.0|2.0|14.0|0.208|0.234|0.283|0.517|45.0|68.0|72.0|3.14|107.0|1.242|192.0|147.0|3.0|1257.1|1273.0|44.0|289.0|445.0|1/H|False|1
237|Dolph Camilli|56.0|26.0|12.0|43.3|40.0|41.7|53.8|1490.0|5353.0|936.0|1482.0|239.0|950.0|60.0|947.0|0.277|0.388|0.492|0.88|136.0||||||||| |||||*3/H|False|4
238|Virgil Davis|44.0|38.0|16.0|22.4|17.7|20.1|44.2|1458.0|4255.0|388.0|1312.0|77.0|647.0|6.0|386.0|0.308|0.369|0.43|0.799|110.0||||||||| |||||*2H/35|False|2
239|Paul Derringer|99.0|28.0|15.0|36.0|26.4|31.2|61.4|579.0|1260.0|70.0|220.0|2.0|102.0|0.0|16.0|0.175|0.186|0.208|0.394|9.0|223.0|212.0|3.46|108.0|1.282|579.0|445.0|29.0|3645.0|3912.0|158.0|761.0|1507.0|*1|False|7
240|Leo Durocher|15.0|14.0|17.0|4.3|7.1|5.7|55.4|1637.0|5350.0|575.0|1320.0|24.0|567.0|31.0|377.0|0.247|0.299|0.32|0.619|66.0||||||||| |||||*64H/5|False|8
241|Wes Ferrell|75.0|22.0|15.0|60.1|54.4|57.3|61.4|548.0|1176.0|175.0|329.0|38.0|208.0|2.0|129.0|0.28|0.351|0.446|0.797|100.0|193.0|128.0|4.04|116.0|1.481|374.0|323.0|13.0|2623.0|2845.0|132.0|1040.0|985.0|*1H/7|False|6
242|Lew Fonseca|45.0|21.0|12.0|14.1|14.7|14.4|53.8|937.0|3404.0|518.0|1075.0|31.0|485.0|64.0|186.0|0.316|0.355|0.432|0.788|103.0|0.0|0.0|0.0||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|*3*47H/5961|False|5
